Exchange Date	Close	Adjusted Close	Net	%Chg	Open	Low	High	Volume		
5-Jan-26	275.06		5.38	1.99%	267.77	267.67	275.5	"1,375,610"		
2-Jan-26	269.68		-3.4	-1.25%	272.25	268.17	272.54	"1,228,547"		
31-Dec-25	273.08		-2.75	-1.00%	275.7	272.89	276.02	"958,687"		
30-Dec-25	275.83		-2.59	-0.93%	278.22	275.69	278.58	"1,345,500"		
29-Dec-25	278.42		1.69	0.61%	277.43	276.62	278.55	"951,065"		
26-Dec-25	276.73		0.35	0.13%	276.56	276	277.64	"545,913"		
24-Dec-25	276.38		0.85	0.31%	274.99	274.99	277	"579,976"		
23-Dec-25	275.53		2.33	0.85%	272.53	271.01	275.81	"766,141"		
22-Dec-25	273.2		4.11	1.53%	268.5	267.95	273.28	"1,240,305"		
19-Dec-25	269.09		3.06	1.15%	265.36	265.17	270.44	"4,349,909"		
18-Dec-25	266.03		-7.71	-2.82%	272.98	265.41	274.28	"2,110,566"		
17-Dec-25	273.74		0.79	0.29%	273.35	272.14	276.51	"1,409,668"		
16-Dec-25	272.95		0.77	0.28%	271.86	269.61	273.44	"1,839,390"		
15-Dec-25	272.18		-1.37	-0.50%	272.97	268.86	276.52	"3,094,330"		
12-Dec-25	273.55		1.15	0.42%	272	271.2	273.77	"1,444,193"		
11-Dec-25	272.41		6.07	2.28%	267.34	267.25	272.56	"1,784,637"		
10-Dec-25	266.33		-3.79	-1.40%	269.23	265.25	271.3	"2,242,896"		
9-Dec-25	270.12		-0.3	-0.11%	270.83	268.82	273.34	"1,255,686"		
8-Dec-25	270.42		-0.45	-0.17%	270.5	268.5	271.47	"1,565,852"		
5-Dec-25	270.87		-2.32	-0.85%	273.35	270.1	273.87	"1,968,686"		
4-Dec-25	273.19		-1.15	-0.42%	275.97	271.62	276.25	"2,413,080"		
3-Dec-25	274.34		-3.15	-1.14%	276.05	273.12	279.81	"1,847,526"		
2-Dec-25	277.49		-1.5	-0.54%	278.89	274.99	280.53	"1,871,586"		
